Condition Impairments, FID="BQdIdJEZUWityfIT" UGFLinkReference="sEsE38",BQdIdJEZUWityfIT,sEsE38,,,5,sEsE,38
"Movement (limited by your movement speed, normally 30 ft.), FID="BQyAoIEPt4C1X7TQ" UGFLinkReference="sEsE13",BQyAoIEPt4C1X7TQ,sEsE13,,,5,sEsE,13
Actions (1 per turn), FID="BRWioj24MBQerLal" UGFLinkReference="sEsE15",BRWioj24MBQerLal,sEsE15,,,5,sEsE,15
Bonus Actions (1 per turn), FID="BRyGHyvoWZkLtZDI" UGFLinkReference="sEsE16",BRyGHyvoWZkLtZDI,sEsE16,,,5,sEsE,16
Reactions (1 per turn), FID="BS6CdYiat6Vxwh4n" UGFLinkReference="sEsE21",BS6CdYiat6Vxwh4n,sEsE21,,,5,sEsE,21
Interact with Object (free action), FID="BSHnPKiY1eGyJYbt" UGFLinkReference="sEsE22",BSHnPKiY1eGyJYbt,sEsE22,,,5,sEsE,22
Miscellaneous, FID="BTL7nCfatny1SnOV" UGFLinkReference="sEsE28",BTL7nCfatny1SnOV,sEsE28,,,5,sEsE,28
PC Creation, FID="BTLHfVDcpqTziO1G" UGFLinkReference="sEsE29",BTLHfVDcpqTziO1G,sEsE29,,,5,sEsE,29
Backgrounds, FID="Hm339wIFLK3WdcC5" UGFLinkReference="sEsE616",Hm339wIFLK3WdcC5,sEsE616,,,5,sEsE,616
Acrobat, FID="HmcVSs83HIB3xDx3" UGFLinkReference="bKbK23",HmcVSs83HIB3xDx3,bKbK23,,,5,bKbK,23
Adventurer, FID="IOyfCcnz7IOrxjGh" UGFLinkReference="bKbK1",IOyfCcnz7IOrxjGh,bKbK1,,,5,bKbK,1
Anchorite (Hippy), FID="J1ld0K8bUip6TOrX" UGFLinkReference="bKbK59",J1ld0K8bUip6TOrX,bKbK59,,,5,bKbK,59
Antiquarian, FID="JSBX7lAqcLNDqMcT" UGFLinkReference="bKbK2",JSBX7lAqcLNDqMcT,bKbK2,,,5,bKbK,2
Apothecary, FID="JvKH9MdSlTAIbQwf" UGFLinkReference="bKbK3",JvKH9MdSlTAIbQwf,bKbK3,,,5,bKbK,3
Artist, FID="KAPNI9dA5BXc5pyr" UGFLinkReference="bKbK38",KAPNI9dA5BXc5pyr,bKbK38,,,5,bKbK,38
Assassin, FID="KbgjKBkjMA96LT9J" UGFLinkReference="bKbK24",KbgjKBkjMA96LT9J,bKbK24,,,5,bKbK,24
Barmaid, FID="KtbUzDRZ3x7wWbjU" UGFLinkReference="bKbK4",KtbUzDRZ3x7wWbjU,bKbK4,,,5,bKbK,4
Battlesmith, FID="L7RehLs3b8nDVk3K" UGFLinkReference="bKbK5",L7RehLs3b8nDVk3K,bKbK5,,,5,bKbK,5
Beggar, FID="LaMt1DVTnjmsUosW" UGFLinkReference="bKbK25",LaMt1DVTnjmsUosW,bKbK25,,,5,bKbK,25
Blacksmith, FID="Lwph1z6XdjMGB46Z" UGFLinkReference="bKbK26",Lwph1z6XdjMGB46Z,bKbK26,,,5,bKbK,26
Captain (Sea), FID="MQqz8OHCCtOe9RZn" UGFLinkReference="bKbK54",MQqz8OHCCtOe9RZn,bKbK54,,,5,bKbK,54
Chef, FID="MZQ9md5cvhKYZ8VT" UGFLinkReference="bKbK6",MZQ9md5cvhKYZ8VT,bKbK6,,,5,bKbK,6
City Guard, FID="MqcZ4JpJAgYsodkS" UGFLinkReference="bKbK7",MqcZ4JpJAgYsodkS,bKbK7,,,5,bKbK,7
Cleric, FID="NZe0J0ixSp39CwQT" UGFLinkReference="bKbK48",NZe0J0ixSp39CwQT,bKbK48,,,5,bKbK,48
Cobbler, FID="O1HozyH8kqzFl0yq" UGFLinkReference="bKbK37",O1HozyH8kqzFl0yq,bKbK37,,,5,bKbK,37
Craftsman, FID="OS48C1FfRkkwG2pQ" UGFLinkReference="bKbK50",OS48C1FfRkkwG2pQ,bKbK50,,,5,bKbK,50
